Date,_AEXD,_AORDD,_ATXD,_BFXD,_FCHID,_FTSED,_GDAXD,_GSPTSED,_HSID,_IBEXD,_ISEQD,_N225D,_OMXH25D,_PSI20D,_SPXD,_SSMID
1995-09-07,281.7247839,1608.528944,1351.91539,1958.118265,2399.911854,5491.945632,2998.163787,3403.868013,1198.681075,4566.514401,2627.903456,177.9020697,1073.466617,5091.599841,570.29,2457.53523
1995-09-08,281.6186226,1609.055129,1348.081922,1949.814825,2391.474978,5509.144451,3012.444568,3418.455096,1213.32653,4599.278186,2632.217565,183.3450351,1070.759488,5094.525198,572.68,2462.273476
1995-09-11,283.3788127,1613.456762,1348.548204,1957.224293,2414.707126,5491.72211,2996.761034,3417.276637,1219.723232,4641.173409,2641.199272,184.9164749,1082.448561,5101.220154,573.91,2469.036792
1995-09-12,283.9917471,1629.567728,1352.833701,1958.831423,2416.863053,5500.777691,3016.202129,3424.549031,1219.203928,4657.777614,2649.478761,182.802573,1096.076501,5078.036738,576.51,2484.835895
1995-09-13,282.0807175,1650.103046,1333.892996,1941.582637,2422.956326,5530.978934,3009.094268,3377.168385,1238.381853,4626.620271,2653.15094,181.3198909,1081.35541,4998.619649,578.77,2476.847291
1995-09-14,283.55358,1637.283779,1334.885502,1961.54565,2421.602318,5520.049388,3027.074549,3354.861054,1250.901286,4644.629481,2673.756397,183.3675464,1095.085623,5036.327089,583.61,2484.203662
1995-09-15,283.5922971,1645.918605,1333.056595,1961.715372,2409.494883,5524.798667,3043.232602,3340.029367,1266.304821,4614.528514,2711.065738,177.7010379,1082.686697,5044.083915,583.35,2506.54507
1995-09-18,282.1271996,1636.446056,1319.466035,1954.737835,2401.527541,5469.504644,3040.301604,3347.616041,1262.769782,4579.151226,2678.393127,177.7010379,1076.000046,5066.063516,582.77,2495.313231
1995-09-19,283.8730998,1645.573547,1302.894079,1958.339175,2416.278353,5474.416293,3037.950781,3339.587932,1246.754504,4603.883194,2673.346125,176.873145,1071.93171,5070.529993,584.2,2522.241623
1995-09-20,287.1326884,1633.479151,1326.727036,1976.294684,2417.571875,5525.131865,3084.738154,3354.814362,1244.631688,4636.755542,2683.951237,177.5473171,1062.247018,5148.817149,586.77,2586.678053
1995-09-21,293.4436427,1606.926472,1353.731801,2019.599637,2456.999296,5660.938584,3142.241533,3362.109548,1232.824777,4683.9,2719.67353,182.169697,1088.113773,5241.292321,583.0,2668.217823
1995-09-22,293.9487828,1595.971429,1354.936214,2033.994098,2394.731039,5530.763179,3038.267478,3350.251704,1234.31474,4624.576954,2724.886092,177.0504748,1058.051729,5288.625877,581.73,2613.176265
1995-09-25,290.63984,1599.7445,1335.21965,1992.949896,2387.513756,5508.088582,3010.996399,3362.811305,1228.465356,4529.619836,2689.808062,174.7900498,1064.729136,5220.389713,581.81,2608.391003
1995-09-26,293.224153,1592.786666,1343.652501,2012.010867,2405.926291,5518.953634,3032.639241,3359.77098,1239.518826,4609.913987,2702.430134,177.5686119,1075.201089,5267.85917,581.41,2620.461194
1995-09-27,290.8744058,1591.790652,1332.351292,1999.894838,2390.880403,5489.918084,3000.595942,3332.143725,1248.089133,4540.787017,2700.909191,181.8964143,1040.085194,5249.144205,581.04,2613.354172
1995-09-28,290.4483798,1591.568122,1339.268937,2009.894847,2362.621445,5489.979486,2993.16946,3351.705115,1241.505186,4514.688584,2715.828027,181.7924148,1058.43029,5258.030261,585.87,2626.345821
1995-09-29,291.2486726,1612.700823,1337.263197,2004.869575,2381.889748,5553.585563,2997.532196,3377.134124,1247.586627,4541.647831,2732.648886,179.48998,1065.066017,5250.304999,584.41,2612.931184
1995-10-02,290.6091846,1628.227359,1335.756348,2008.611299,2368.347911,5593.834419,3022.17538,3359.91187,1257.708638,4539.70412,2728.849322,176.8673978,1061.024573,5300.208569,581.72,2643.758156
1995-10-03,287.3784001,1641.26251,1314.963259,1989.693163,2376.384207,5576.265823,3024.798843,3383.075338,1268.412134,4461.788612,2721.52917,178.6607582,1034.991856,5318.692169,582.34,2629.581716
1995-10-04,289.028721,1605.281004,1326.976201,1984.397379,2386.810194,5612.193349,3024.798843,3371.572308,1285.560036,4491.843804,2722.501414,179.9752033,1032.302218,5383.656276,581.47,2633.336224
1995-10-05,289.4825752,1593.799515,1339.404742,1980.336236,2385.722102,5613.557016,3039.738683,3369.352303,1278.929056,4474.066441,2711.806507,182.8623043,1031.044576,5384.624107,582.63,2661.349781
1995-10-06,289.2971146,1598.384779,1344.667141,1987.626504,2374.7125,5580.788099,2990.808269,3376.222231,1276.968095,4406.478096,2706.346587,184.3256972,1023.846467,5384.624107,582.49,2666.084679
1995-10-09,286.9499906,1597.127798,1344.200881,1977.579481,2343.400969,5563.074485,3000.770263,3351.292469,1275.615328,4342.137736,2712.197457,181.0388446,1005.583601,5360.633397,578.37,2684.657846
1995-10-10,285.9245283,1570.721075,1341.413102,1953.447647,2350.393607,5455.850047,2949.563199,3351.292469,1258.688384,4386.833745,2679.428394,177.0529441,963.205508,5331.537422,577.52,2657.95207
1995-10-11,286.7392938,1577.278002,1320.630535,1945.471972,2370.255709,5458.444619,2941.354433,3350.24693,1246.127729,4422.720623,2690.162183,177.0529441,1002.413993,5328.699891,579.46,2657.15521
1995-10-12,288.5093558,1577.772489,1287.291577,1954.10093,2388.337583,5552.789159,2977.928626,3345.322074,1252.65331,4505.296921,2709.704356,179.4806751,1003.637569,5343.673755,583.1,2686.149826
1995-10-13,287.9790288,1592.081311,1291.792331,1954.10093,2393.841229,5620.667927,3010.528457,3366.52711,1278.460781,4505.296921,2728.979526,177.1428571,1019.648119,5319.769527,584.5,2694.280763
