,AAPL,IBM,ORCL,AMZN,MSFT,GS,MS,JPM,AXP,TRV,MCK,A,PFE,AMGN,CVS,GE,DE,GD,CAT,UTX,EL,UL,NKE,HAS,SNE
854,63.062858999999996,207.779999,34.529999,267.290009,35.02,160.699997,24.73,54.599998,76.160004,83.220001,116.309998,33.211731,29.01,106.199997,60.209998999999996,23.6,86.339996,77.870003,86.190002,95.970001,71.050003,43.290001000000004,31.639999,46.720001,20.67
855,63.564285,207.919998,34.400002,265.52999900000003,34.880001,162.869995,24.98,54.669998,75.83000200000001,83.66999799999999,114.370003,32.939915,28.280001000000002,104.389999,59.240002000000004,23.639999,87.349998,77.529999,86.489998,95.120003,69.209999,42.939999,31.465,44.450001,20.1
856,64.511429,209.360001,34.34,266.829987,35.029999,164.350006,25.82,55.619999,76.139999,84.559998,114.940002,32.939915,28.25,105.220001,58.790001000000004,23.6,87.410004,78.349998,86.410004,95.959999,69.58000200000001,42.810001,31.205,44.830002,20.84
857,64.247147,208.020004,33.779999,269.200012,34.900002,162.080002,25.9,54.59,75.709999,83.720001,113.860001,32.510731,27.23,100.529999,57.580002,23.32,87.110001,77.099998,85.800003,94.900002,67.779999,42.009997999999996,30.83,44.48,20.15
858,64.388573,208.949997,34.389998999999996,266.880005,35.59,163.559998,25.65,54.490002000000004,76.470001,83.760002,112.739998,32.55365,27.75,99.129997,58.650002,23.639999,88.349998,77.57,86.129997,95.230003,67.5,42.27,31.514999,44.810001,19.540001
859,64.187141,206.190002,34.16,265.700012,34.990002000000004,161.679993,25.469998999999998,54.040001000000004,76.059998,83.82,112.309998,32.489269,27.66,97.290001,57.490002000000004,23.66,87.150002,77.209999,85.91999799999999,94.279999,67.470001,42.200001,31.389999,44.66,19.82
860,63.587143000000005,202.740005,34.119999,267.170013,34.779999,158.300003,25.030001000000002,53.029999,74.760002,82.239998,111.66999799999999,31.852646000000004,27.48,94.599998,57.23,23.32,85.900002,76.68,84.41999799999999,93.010002,66.480003,41.419998,30.875,44.099998,19.0
861,62.637142000000004,203.800003,33.349998,267.829987,34.959998999999996,159.679993,25.41,53.5,76.239998,81.739998,111.809998,32.195995,28.110001,97.489998,57.889998999999996,23.379998999999998,86.089996,77.849998,84.0,92.75,65.970001,41.59,31.08,44.18,18.959999
862,63.115715,206.350006,33.810001,276.869995,35.669998,166.009995,27.0,54.27,78.040001,83.440002,113.959999,32.296139000000004,28.26,98.809998,58.490002000000004,23.860001,86.809998,79.120003,84.650002,94.5,68.120003,41.830002,31.375,45.0,19.559998999999998
863,62.69857,205.020004,34.049999,281.070007,35.470001,167.490005,27.15,54.360001000000004,78.279999,83.300003,114.660004,31.995708,28.370001000000002,98.309998,58.599998,23.780001000000002,86.199997,78.58000200000001,83.800003,94.139999,67.599998,41.639998999999996,31.52,44.59,20.110001
864,62.514286,203.979996,33.57,274.77999900000003,34.84,163.309998,26.09,53.490002000000004,76.519997,82.08000200000001,112.870003,31.759657,28.42,97.93,58.669998,23.58,85.239998,78.16999799999999,83.519997,93.68,67.75,41.349998,31.075001,44.700001,20.299999
865,61.741428000000006,201.199997,33.52,271.670013,35.0,161.860001,25.57,53.18,74.720001,81.449997,112.019997,31.416309000000002,28.43,96.370003,58.380001,23.5,84.32,78.300003,83.209999,92.68,67.41999799999999,41.459998999999996,30.705,43.810001,20.280001000000002
866,62.279999,203.770004,34.25,275.790009,34.720001,165.820007,26.370001000000002,54.169998,75.209999,82.800003,113.849998,31.824034,29.08,98.510002,59.27,23.68,85.599998,78.07,85.139999,94.290001,68.050003,41.48,30.879998999999998,44.32,21.030001000000002
867,61.435715,202.199997,33.77,273.98999,34.400002,162.919998,25.83,53.130001,72.970001,82.150002,114.290001,31.473534,29.09,97.41999799999999,59.029999,23.52,84.879997,78.0,83.870003,94.019997,68.410004,41.220001,30.945,44.09,19.879998999999998
868,61.714287,203.03999299999998,34.27,278.059998,35.0,164.110001,26.209999,53.849998,73.839996,83.230003,114.379997,31.74535,29.16,99.08000200000001,59.27,23.77,84.809998,78.379997,83.91999799999999,94.980003,70.199997,41.68,30.969998999999998,44.310001,20.719998999999998
869,61.681427,204.869995,34.400002,281.76001,34.98,164.149994,26.32,54.110001000000004,74.980003,84.089996,114.620003,32.04578,29.4,101.5,59.91,24.33,85.0,78.849998,84.550003,96.16999799999999,69.720001,41.669998,31.075001,44.740002000000004,21.4
